document_id,entity,gold_answer
brexit_ru.txt_file_10,EVT,Brexit
brexit_ru.txt_file_10,LOC,Альбиона
brexit_ru.txt_file_10,LOC,Альбионе
brexit_ru.txt_file_10,PER,Борис Джонсон Борис
brexit_ru.txt_file_10,LOC,Британии
brexit_ru.txt_file_10,LOC,Британия
brexit_ru.txt_file_10,LOC,Брюсселе
brexit_ru.txt_file_10,LOC,Брюсселем
brexit_ru.txt_file_10,LOC,Брюссель
brexit_ru.txt_file_10,LOC,Брюсселю
brexit_ru.txt_file_10,LOC,Брюсселя
brexit_ru.txt_file_10,PER,Джонсон
brexit_ru.txt_file_10,PER,Джонсона
brexit_ru.txt_file_10,ORG,ЕС
brexit_ru.txt_file_10,ORG,Еврокомиссия
brexit_ru.txt_file_10,LOC,Европа
brexit_ru.txt_file_10,LOC,Европе
brexit_ru.txt_file_10,ORG,Европейскому
brexit_ru.txt_file_10,LOC,Европой
brexit_ru.txt_file_10,LOC,Европы
brexit_ru.txt_file_10,ORG,Евросоюза
brexit_ru.txt_file_10,ORG,Евросоюзом
brexit_ru.txt_file_10,ORG,Консервативной партии Консервативная
brexit_ru.txt_file_10,LOC,Ла-Манша
brexit_ru.txt_file_10,LOC,Лондон
brexit_ru.txt_file_10,LOC,Лондона
brexit_ru.txt_file_10,LOC,Лондоне
brexit_ru.txt_file_10,LOC,Лондону
brexit_ru.txt_file_10,ORG,Международного валютного фонда Международный валютный
brexit_ru.txt_file_10,PER,Мишелю Барнье Мишель
brexit_ru.txt_file_10,PER,Мэй
brexit_ru.txt_file_10,PER,Себастьян Курц Себастьян
brexit_ru.txt_file_10,LOC,Северную Ирландию Северная
brexit_ru.txt_file_10,LOC,Соединенного Королевства Соединенное
brexit_ru.txt_file_10,PER,Тереза Мэй Тереза
brexit_ru.txt_file_10,PER,Терезу
brexit_ru.txt_file_10,EVT,брекзит
brexit_ru.txt_file_10,EVT,брекзита
brexit_ru.txt_file_10,EVT,брекзиту
brexit_ru.txt_file_10,EVT,брексит
brexit_ru.txt_file_10,ORG,британском парламенте британский
brexit_ru.txt_file_10,ORG,британскому парламентам британский
brexit_ru.txt_file_10,ORG,лейбористы
